1 10 -2 2 71
0	1
0.1	1.094837582
0.2	1.178735909
0.3	1.250856696
0.4	1.310479336
0.5	1.3570081
0.6	1.389978088
0.7	1.409059875
0.8	1.4140628
0.9	1.404936878
1	1.381773291
1.1	1.344803481
1.2	1.29439684
1.3	1.231057014
1.4	1.155416873
1.5	1.068232188
1.6	0.970374081
1.7	0.862820316
1.8	0.746645536
1.9	0.623010521
2	0.49315059
2.1	0.358363262
2.2	0.219995287
2.3	0.079429191
2.4	-0.061930535
2.5	-0.202671471
2.6	-0.341387382
2.7	-0.476692262
2.8	-0.607234191
2.9	-0.731708836
3	-0.848872489
3.1	-0.957554488
3.2	-1.056668919
3.3	-1.145225464
3.4	-1.222339295
3.5	-1.287239915
3.6	-1.33927886
3.7	-1.377936173
3.8	-1.402825603
3.9	-1.413698463
4	-1.410446116
4.1	-1.393101058
4.2	-1.361836594
4.3	-1.316965109
4.4	-1.258934944
4.5	-1.188325917
4.6	-1.105843531
4.7	-1.012311921
4.8	-0.908665625
4.9	-0.795940243
5	-0.675262089
5.1	-0.54783694
5.2	-0.414937984
5.3	-0.277893106
5.4	-0.138071612
5.5	0.003129449
5.6	0.144299241
5.7	0.284027242
5.8	0.420917338
5.9	0.553601766
6	0.680754788
6.1	0.801105934
6.2	0.913452694
6.3	1.016672537
6.4	1.109734124
6.5	1.191707614
6.6	1.261773955
6.7	1.319233069
6.8	1.363510841
6.9	1.394164865
7	1.410888853
